nconst,primaryName,knownForTitles
nm0001372,Bonnie Hunt,"tt0113497,tt0120689,tt0116695,tt0095953"
nm0001564,Bebe Neuwirth,"tt0113497,tt0083399,tt0162677,tt0251127"
nm0002123,Adam Hann-Byrd,"tt0113497,tt0119349,tt0102316,tt0120694"
nm0002653,Joe Johnston,"tt0458339,tt0102803,tt0082971,tt0132477"
nm0004979,David Alan Grier,"tt14271652,tt13018090,tt4718770,tt15481366"
nm0120410,Laura Bell Bundy,"tt0113497,tt0443489,tt1125194,tt0460649"
nm0165101,Patricia Clarkson,"tt0340377,tt0297884,tt0120689,tt1130884"
nm0404993,Jonathan Hyde,"tt0120338,tt0118615,tt0113497,tt0120616"
nm0682300,Bradley Pierce,"tt0113497,tt0101414,tt5884052,tt0118755"
nm0854074,William Teitler,"tt0338348,tt0406375,tt7975244,tt2283362"
nm0000193,Demi Moore,"tt0119173,tt0305357,tt0099653,tt0107211"
nm0001371,Tom Hulce,"tt0086879,tt0116583,tt0077975,tt0098067"
nm0004517,Jason Alexander,"tt0098904,tt0116583,tt0100405,tt0106598"
nm0074834,Mary Kay Bergman,"tt0158983,tt0119282,tt0101414,tt0120762"
nm0123553,Corey Burton,"tt0230011,tt0092106,tt0119282,tt1568322"
nm0191906,Jim Cummings,"tt1449283,tt4575576,tt0780521,tt0103639"
nm0265067,Bill Fagerbakke,"tt0206512,tt2279373,tt1131734,tt0345950"
nm0353893,Don Hahn,"tt1587310,tt0116583,tt0110357,tt0230011"
nm0419645,Tony Jay,"tt0116583,tt0081633,tt0101414,tt0095687"
nm0437199,Paul Kandel,"tt0116583,tt0257778,tt0206951,tt0098844"
nm0453909,Charles Kimbrough,"tt0116583,tt0094514,tt0257778,tt0209475"
nm0873779,Gary Trousdale,"tt0116583,tt0101414,tt0230011,tt0095776"
nm0936374,Kirk Wise,"tt0101414,tt0245429,tt0230011,tt0116583"
nm0000156,Jeff Goldblum,"tt0107290,tt0091064,tt2278388,tt0116629"
nm0000226,Will Smith,"tt0098800,tt0119654,tt0480249,tt0116629"
nm0000386,Roland Emmerich,"tt0116629,tt0120685,tt0319262,tt1628841"
nm0000597,Bill Pullman,"tt0116629,tt1628841,tt0094012,tt0116922"
nm0001213,Harvey Fierstein,"tt0107614,tt0116629,tt0109348,tt0120762"
nm0001521,Mary McDonnell,"tt0407362,tt0246578,tt1615147,tt0099348"
nm0001642,Randy Quaid,"tt0116629,tt0070290,tt0097958,tt0116778"
nm0002041,Dean Devlin,"tt0116629,tt0120685,tt1628841,tt0111282"
nm0002139,Judd Hirsch,"tt14208870,tt0116629,tt0077089,tt0268978"
nm0005162,Robert Loggia,"tt0094737,tt0116629,tt0116922,tt0086250"
nm0171513,Margaret Colin,"tt0116629,tt0250797,tt0212395,tt0091983"
nm0714310,James Rebhorn,"tt0116629,tt0119174,tt0134119,tt0105323"
nm0000129,Tom Cruise,"tt0092099,tt0325710,tt0116695,tt0181689"
nm0000250,Renée Zellweger,"tt0299658,tt0159365,tt0116695,tt0243155"
nm0000421,Cuba Gooding Jr.,"tt0116695,tt0316465,tt0203019,tt0114069"
nm0000593,Kelly Preston,"tt0185183,tt0405325,tt0116695,tt0312528"
nm0001081,Cameron Crowe,"tt0181875,tt0116695,tt0259711,tt0105415"
nm0001372,Bonnie Hunt,"tt0113497,tt0120689,tt0116695,tt0095953"
nm0001542,Jay Mohr,"tt0139239,tt0116695,tt0223897,tt0180052"
nm0005093,Regina King,"tt0350258,tt7125860,tt10696784,tt0385307"
nm0005151,Jonathan Lipnicki,"tt6483832,tt0116695,tt0308506,tt0164912"
nm0005278,Jerry O'Connell,"tt0092005,tt0112167,tt0257568,tt0120082"
nm0521974,Todd Louiso,"tt0146882,tt2063666,tt0116695,tt2884018"
nm0757017,Richard Sakai,"tt0116695,tt0096697,tt0462538,tt0077089"
nm0000129,Tom Cruise,"tt0092099,tt0325710,tt0116695,tt0181689"
nm0000218,Kristin Scott Thomas,"tt0280707,tt0116209,tt1602613,tt0109831"
nm0000322,Emmanuelle Béart,"tt0283832,tt0117060,tt0113947,tt0109731"
nm0000361,Brian De Palma,"tt0086984,tt0080661,tt0094226,tt0074285"
nm0000603,Vanessa Redgrave,"tt1372686,tt0783233,tt0104454,tt0892318"
nm0000606,Jean Reno,"tt0110413,tt0095250,tt0122690,tt0383216"
nm0000609,Ving Rhames,"tt0110912,tt0120755,tt0163988,tt2381249"
nm0000685,Jon Voight,"tt0064665,tt0118615,tt0068473,tt0089941"
nm0001089,Henry Czerny,"tt0117060,tt0109444,tt0383216,tt7798634"
nm0200848,Ingeborga Dapkunaite,"tt0120102,tt0117060,tt0367959,tt2873282"
nm0906048,Paula Wagner,"tt0117060,tt0325710,tt5301662,tt0259711"
