nconst,primaryName,knownForTitles
nm0657014,Michel Paje,"tt0268276,tt0202795,tt0068573,tt0065166"
nm0699514,Claude Préfontaine,"tt0101465,tt0165570,tt0096689,tt0098356"
nm1839260,Kim Wilcox,tt0065166
nm0483751,Arthur Lamothe,"tt0117650,tt0055817,tt1650419,tt0137249"
nm0000215,Susan Sarandon,"tt0103074,tt0112818,tt0120686,tt0109446"
nm0076866,Céline Bernier,"tt0067753,tt0067103,tt0066762,tt0066288"
nm0078507,Paul Berval,"tt0188343,tt0096276,tt0042694,tt0067103"
nm0110086,Donald Brittain,"tt0203496,tt0203686,tt0127527,tt0088880"
nm0142042,Jean-Pierre Cartier,"tt0301374,tt0280168,tt0067103,tt0075036"
nm0173544,Richard Comar,"tt0106598,tt0096551,tt0096101,tt0104609"
nm0174856,Patrick Conlon,"tt0067103,tt0256682,tt0191563"
nm0204511,Dorothy Davis,"tt0074806,tt0073705,tt0021511,tt0062036"
nm0279256,Steve Fiset,"tt0067103,tt0066288,tt0189241,tt9847744"
nm0448791,Larry Kent,"tt0431799,tt3589016,tt0104921,tt0294369"
nm0491021,Carole Laure,"tt0322279,tt0083284,tt0412554,tt0085901"
